,#spam with term,#legit with term,IG
visa,51,32,0.016942403580459786
absolutely,43,19,0.016913140584887798
bank,65,60,0.016912206826194986
capital,48,27,0.016884475910550645
us,190,469,0.016715809352322142
student,14,411,0.016644590033042472
invest,26,1,0.01662128457589951
works,26,1,0.01662128457589951
fax,62,780,0.01659700326750785
opportunity,91,127,0.016552339724406395
life,80,98,0.016487189839653804
add,95,140,0.01630450610705142
french,1,246,0.016272532905201587
own,117,208,0.016179552354352644
choose,66,66,0.01611264805002549
big,51,35,0.016064551316560427
engine,38,14,0.01603769006611494
video,53,39,0.016005873338413357
join,72,81,0.015952770817689643
is,98,153,0.015726071312845813
per,99,157,0.015592106480833257
relax,26,2,0.015562015981401611
affiliation,1,236,0.015513428861050726
prove,61,58,0.015433957392233077
focus,6,307,0.01540112877049965
weekly,27,3,0.015358956022814563
brand,27,3,0.015358956022814563
summary,3,266,0.015304353311777263
luck,32,8,0.015302519507842671
reports,28,4,0.015249972429999203
always,28,4,0.015249972429999203
car,51,38,0.01524566316025383
between,30,528,0.015171298755925877
institute,3,264,0.015156894177837832
remember,63,64,0.01512458176597753
nothing,59,56,0.014915627800345499
worldwide,36,14,0.014850610441968615
tell,96,154,0.014828339307415672
effective,48,34,0.014780254642971447
exactly,53,44,0.01473852816590282
g,17,409,0.014595476159507959
try,92,144,0.014587065364586649
retire,29,6,0.014563693925271293
refund,29,6,0.014563693925271293
comply,23,1,0.014541236582412076
top,59,58,0.01449440445314798
word,48,650,0.014481624781322977
total,62,65,0.014467910557418362
paper,40,592,0.014432435943272981
envelope,33,11,0.014395487298793919
put,87,131,0.014381317318594322
german,2,237,0.014288176309151024
generate,53,46,0.014266389587876738
fortune,24,2,0.014203220062419974
decide,57,55,0.014187319424326494
lose,63,69,0.014154125889148661
federal,34,13,0.014097259082930969
april,3,249,0.014057811284303556
faster,30,8,0.01405322282640431
super,30,8,0.01405322282640431
totally,36,16,0.014039112862475334
quick,36,16,0.014039112862475334
future,84,125,0.01402889701852772
lists,25,3,0.014023653996419971
rate,80,114,0.013993834360602864
chance,50,41,0.013983591437228382
duplicate,29,7,0.013976503464333545
everyone,56,54,0.013930226706766913
practically,28,6,0.01392593828606592
clean,28,6,0.01392593828606592
mail,254,794,0.013918552574988863
cent,27,5,0.013908744968422093
sources,22,1,0.013850792891823227
greatest,31,10,0.013658978246415432
query,2,228,0.013624521645439813
even,133,289,0.01352942849799893
create,68,85,0.01352162713501498
window,45,33,0.013511098459020932
seven,40,24,0.0134869460445039
visit,87,138,0.013460286095143714
john,12,343,0.01337737369541997
powerful,38,21,0.013368498292172126
owe,28,7,0.013349879599500791
researcher,1,207,0.01333650471420178
billion,25,4,0.013282547798984135
sender,25,4,0.013282547798984135
european,2,223,0.013257589156833005
competition,31,11,0.013196124164516154
mastercard,40,25,0.013179396162357915
paste,21,1,0.013161897825720748
everythe,21,1,0.013161897825720748
bankruptcy,21,1,0.013161897825720748
advantage,52,49,0.013120379369101598
sure,77,112,0.013092272819411499
completely,50,45,0.013051214337403472
session,4,248,0.012994963204091436
much,126,270,0.012990254249204691
invite,17,384,0.012978744765326788
enjoy,39,24,0.012951958821478482
legitimate,34,16,0.012898639460756312
august,1,201,0.012890709038693271
speak,9,304,0.012825472198610854
expiration,28,8,0.012817957925227053
extra,49,44,0.012798768904694335
suite,44,34,0.012745853065724788
recruit,23,3,0.012698139166081146
modern,2,215,0.012673156374779615
mailbox,26,6,0.012660266037525125
excess,26,6,0.012660266037525125
charge,60,70,0.012657102222424721
mailer,24,4,0.012632381642300128
lucky,25,5,0.012625321299013559
city,90,154,0.012611496246189013
hesitate,34,17,0.012533857483115973
yahoo,20,1,0.01247462164712726
evaluating,20,1,0.01247462164712726
alter,29,10,0.012456572968489732
miss,49,46,0.012359889646012256
true,60,72,0.012311691844610395
literature,1,192,0.012225025137840906
order,163,420,0.012211318399642124
secure,27,8,0.012206013972756058
programs,21,2,0.012180507075774727
re,137,320,0.012153279377933757
eliminate,32,15,0.012140919102075376
trade,32,15,0.012140919102075376
better,74,111,0.012069615353506036
make,25,6,0.012032694613751505
search,67,92,0.012020544551338996
quit,24,5,0.011988559541616317
wrap,23,4,0.011985297473282641
formal,1,188,0.011930336035474165
afford,28,10,0.011861578653216742
sincerely,38,26,0.011840574576595098
aim,2,203,0.01180275893779581
junk,19,1,0.011789045519928598
vacation,27,9,0.011722435921557806
book,32,486,0.01170886461274162
are,68,97,0.011689839620641462
truly,36,23,0.011667110145889337
bottom,33,18,0.011636039840210555
plus,79,129,0.011623763167144752
discuss,4,227,0.011515213634014754
unsubscribe,20,2,0.011510854958559136
incredible,20,2,0.011510854958559136
really,78,127,0.011504990801836534
deposit,24,6,0.011408895312701839
honest,24,6,0.011408895312701839
buyer,21,3,0.011383524351079144
representation,2,197,0.01137043553077266
easiest,22,4,0.011341481213930582
most,145,363,0.011202312179930063
presentation,8,269,0.011202237788851599
print,73,115,0.011170960978763134
datum,11,299,0.011152563056634923
academic,1,177,0.011123707898133384
services,18,1,0.011105263806213572
pick,32,18,0.011092816615292878
relevant,2,193,0.011083307111892093
ye,37,27,0.011056638253528095
registration,9,277,0.011035913867688485
signature,38,29,0.01103412431014722
away,50,55,0.01101921085240426
addresses,25,8,0.010994512005514712
release,34,22,0.010916156839294089
testimonial,19,2,0.010843735598199344
society,3,204,0.010836557087227527
worth,41,36,0.010801636269217207
description,5,229,0.010794402086863497
roll,23,6,0.010789093476219314
imagine,40,34,0.010785940109211078
wish,97,194,0.010764131892750162
organize,4,216,0.010751435598981118
forever,21,4,0.010701143053015172
verify,26,10,0.01068506851727874
instructions,26,10,0.01068506851727874
girl,30,16,0.010672462454572318
code,74,122,0.010669080966242028
effort,54,67,0.010633400733769227
general,20,371,0.010577721553629738
submit,15,327,0.010547808064328812
theme,1,169,0.010540595495815874
law,45,46,0.010527877588266288
else,62,89,0.010495107228668699
relation,1,168,0.010467918537824472
stop,52,63,0.010465714201550458
succeed,32,20,0.010464659786965425
approach,20,369,0.010459761076315133
variety,2,184,0.010440512951948033
hours,17,1,0.010423387003535234
modem,17,1,0.010423387003535234
industry,33,22,0.010397361020991591
phone,130,317,0.01035393811535823
gold,26,11,0.010272306322048341
software,81,147,0.010263419201660018
germany,6,232,0.010209649868608228
filter,29,16,0.010128515586816489
id,29,16,0.010128515586816489
*,201,615,0.010105232457392643
ticket,25,10,0.010104042601288998
j,14,310,0.01006402780331428
publication,16,327,0.010007995549368043
shop,28,15,0.009920681615783244
trial,28,15,0.009920681615783244
family,65,102,0.009886318086875512
sit,26,12,0.009884170460921826
am,39,36,0.009862971929652131
air,33,24,0.009844196093647395
protect,23,8,0.009801132902931498
tip,23,8,0.009801132902931498
notification,4,202,0.009791256524210312
present,32,451,0.009757810615709406
raleigh,16,1,0.009743545548732746
marketer,16,1,0.009743545548732746
started,16,1,0.009743545548732746
believer,16,1,0.009743545548732746
vanish,16,1,0.009743545548732746
enterprise,30,19,0.009717393433518962
beach,27,14,0.00971698191486714
accurately,22,7,0.009671812668989255
easily,48,58,0.009639722607900914
let,87,173,0.00959275257577541
name,173,502,0.009591522157442411
piece,37,33,0.009591354606573288
game,37,33,0.009591354606573288
fast,35,29,0.009565876892763614
instruct,21,6,0.009562524499953984
van,1,155,0.009527495375973749
many,155,428,0.009521922769830216
movie,26,13,0.009518011771823931
limited,17,2,0.009517835422504617
conceal,17,2,0.009517835422504617
accountant,17,2,0.009517835422504617
upgrade,17,2,0.009517835422504617
pass,50,64,0.009482569713443856
protection,20,5,0.00947942461291601
ordering,20,5,0.00947942461291601
financially,18,3,0.009435288678076692
laugh,18,3,0.009435288678076692
did,19,4,0.009431890357171846
ez,19,4,0.009431890357171846
rom,30,20,0.009425203619283784
contribution,3,183,0.009375500317034602
forget,35,30,0.009330606743819636
speed,25,12,0.009324509358405175
believe,72,128,0.009286580024229885
discover,39,39,0.009235752370351735
run,60,93,0.009209646400137328
doubt,38,37,0.009192799969334975
earth,26,14,0.009171618156176564
real,69,120,0.009154352139291999
please,237,801,0.00911646573395336
introduction,3,179,0.009100528107559402
ed,6,215,0.009089764503522113
automatically,32,25,0.009089579899684896
proof,34,29,0.009087772088629265
alone,33,27,0.009083033925567585
lawful,15,1,0.009065894814538678
hardcore,15,1,0.009065894814538678
spanish,1,148,0.009024557246980591
particular,11,265,0.00902278470297646
entire,38,38,0.008989005158892838
latest,40,43,0.008899615485775614
server,35,32,0.008880527465465415
before,114,277,0.008874188420177564
isp,19,5,0.008862960192362268
fraction,16,2,0.008859504792363804
unsolicit,16,2,0.008859504792363804
extraordinary,16,2,0.008859504792363804
corporation,34,30,0.008858658606436809
someone,62,102,0.00881306377972546
natural,14,289,0.008805079360101387
allow,79,155,0.008799072143107545
batch,17,3,0.008793170216097101
ours,17,3,0.008793170216097101
retirement,17,3,0.008793170216097101
waste,22,9,0.008787464505440823
letter,83,170,0.008632604485706963
rights,25,14,0.008632227171694984
help,103,240,0.008615945496741939
yes,37,38,0.008544286749640195
uk,21,343,0.008506829715927922
length,7,215,0.008394988789149849
download,33,30,0.008392824583271785
compliance,14,1,0.00839062177818839
advertiser,14,1,0.00839062177818839
extractor,14,1,0.00839062177818839
genie,14,1,0.00839062177818839
perfectly,29,22,0.008379317738298808
welcome,7,214,0.008331748308545994
hr,18,5,0.008251495996935088
among,4,179,0.008244885265313917
read,106,256,0.0082409544900795
bit,21,9,0.008216692072772702
days,15,2,0.008204622831137154
reap,15,2,0.008204622831137154
clearance,15,2,0.008204622831137154
association,5,190,0.00819540505998273
sent,16,3,0.008155225078509687
wall,16,3,0.008155225078509687
penny,16,3,0.008155225078509687
amateur,16,3,0.008155225078509687
revenue,16,3,0.008155225078509687
d,49,538,0.008126369521412324
below,126,334,0.008121942659212678
proposal,2,150,0.008055324279858889
owner,20,8,0.008050316775420008
editor,4,175,0.007980178944142546
professor,4,175,0.007980178944142546
office,68,128,0.007974728855807967
particularly,1,133,0.00795532056555992
gov,26,18,0.0079500371364023
additional,71,138,0.007934488791196015
increase,49,72,0.007926772679316296
alway,63,113,0.007910961370493963
faith,19,7,0.007896895082203925
client,19,7,0.007896895082203925
chinese,1,132,0.007884464205857256
qualify,29,24,0.007884328309683608
march,11,246,0.007879276948963343
acceptance,5,185,0.007871150946806293
payable,45,62,0.007817565632416534
dictionary,1,131,0.007813662656713016
principle,4,172,0.007782520063704723
professional,46,65,0.007769469220506253
chat,18,6,0.007760128103181552
little,71,140,0.0077430692063900075
unique,36,40,0.007733965963030498
magazine,25,17,0.007722814249083942
boy,25,17,0.007722814249083942
affordable,13,1,0.007717954082178902
mclaughlin,13,1,0.007717954082178902
savings,13,1,0.007717954082178902
japanese,2,145,0.007710773676024296
type,108,271,0.007709697261182091
ling,1,129,0.00767222521692601
news,30,27,0.007665727528613608
percentage,17,5,0.007645458363172375
whatsoever,17,5,0.007645458363172375
report,84,185,0.007632463918486154
request,98,235,0.00762868125928462
turn,52,83,0.007595695678442371
toy,16,4,0.007561328335235817
leave,71,142,0.007555459104249818
trash,14,2,0.007553534057441691
rat,14,2,0.007553534057441691
ram,14,2,0.007553534057441691
removal,14,2,0.007553534057441691
centre,3,156,0.007541846798413965
blvd,15,3,0.007521853941944934
robert,4,168,0.007520163667765145
article,7,201,0.007518177577859275
inexpensive,21,11,0.0074797869225888824
color,19,8,0.007478699320989934
bet,19,8,0.007478699320989934
potential,55,93,0.007448648264041846
quickly,29,26,0.007424567618849243
store,28,24,0.007410642285483993
cross,3,154,0.007408221370278079
anything,54,91,0.007338323550415526
hi,32,33,0.007322432527588685
shock,18,7,0.007317123950038029
action,48,74,0.0072997271682965215
daily,27,23,0.00717168425530007
bin,17,6,0.007170954311344568
february,3,150,0.007141948945138588
less,75,160,0.007141526681955335
berlin,1,121,0.00710873283119301
access,62,118,0.007076859107420452
show,98,243,0.007062637802146943
instantly,12,1,0.0070481725975840015
meg,12,1,0.0070481725975840015
residual,12,1,0.0070481725975840015
benefits,12,1,0.0070481725975840015
blast,12,1,0.0070481725975840015
casino,12,1,0.0070481725975840015
reach,50,82,0.007019656959821596
lot,64,125,0.007017455951171481
postage,23,16,0.006991385011418105
david,10,221,0.006957057049335358
lifetime,15,4,0.006948342691224463
skeptical,15,4,0.006948342691224463
persistent,15,4,0.006948342691224463
style,3,147,0.00694312000081887
hold,29,374,0.006926682103889026
rush,18,8,0.006913862556799544
gift,18,8,0.006913862556799544
each,121,334,0.006912581546197005
goods,13,2,0.006906655249025784
dial,13,2,0.006906655249025784
confidential,13,2,0.006906655249025784
cds,13,2,0.006906655249025784
richer,14,3,0.006893533941216778
graduate,3,146,0.006877013855982439
subject,120,331,0.006855260438949684
convenience,17,7,0.006744117194703414
button,17,7,0.006744117194703414
tremendous,17,7,0.006744117194703414
provider,19,10,0.006739312308452428
text,35,413,0.006736748495337508
already,59,112,0.0067325900546527095
exclusive,27,25,0.006725014451905764
second,30,377,0.006718315431902877
thing,74,162,0.006691031609294629
high,61,119,0.006671175200547552
application,23,323,0.006620142654076899
netherland,3,142,0.006613458404774841
recent,11,224,0.006601875926948497
after,103,269,0.006592018929917454
winner,16,6,0.006588462850119214
proud,16,6,0.006588462850119214
dept,9,205,0.00657111351527917
state,134,393,0.006562226445771202
info,50,86,0.006560132630965609
golden,18,9,0.006544010418661039
sexual,21,14,0.006541830428853701
why,80,185,0.00652989649162844
project,9,204,0.006512754579062752
soon,62,124,0.006505565901236021
until,57,108,0.006504913074338481
case,36,415,0.0065045117125149265
almost,41,61,0.006463176688286165
low,42,64,0.0064321796304859236
early,6,173,0.006431952354675585
file,68,145,0.006407139331377765
michael,7,182,0.006359641151572559
operate,28,29,0.006354685701029206
entertainment,14,4,0.006341533515158093
hotmail,14,4,0.006341533515158093
lanse,14,4,0.006341533515158093
jackson,14,4,0.006341533515158093
teacher,1,110,0.006340108873011507
immediate,26,25,0.0062736526659459835
amex,13,3,0.006270839395455752
illegal,13,3,0.006270839395455752
cyber,13,3,0.006270839395455752
legally,13,3,0.006270839395455752
participate,44,71,0.0062645201937043815
cable,12,2,0.006264497066921171
embark,12,2,0.006264497066921171
fastest,12,2,0.006264497066921171
countless,12,2,0.006264497066921171
discipline,2,123,0.006216229228866721
central,2,123,0.006216229228866721
june,11,217,0.006206835761878582
trust,16,7,0.006178489575403956
ahead,16,7,0.006178489575403956
jump,16,7,0.006178489575403956
phrase,5,158,0.006160586498079046
through,104,280,0.006152229575705825
accommodation,2,122,0.006149190151536088
happen,45,75,0.006134372862202697
model,16,258,0.006118772239874837
nc,19,12,0.006101757323399182
cut,34,45,0.006096500732348242
enclose,34,45,0.006096500732348242
consist,3,134,0.006090674872386681
japan,1,106,0.006062487398399319
small,57,113,0.00602693883837363
object,3,133,0.006025748376096596
ph,3,133,0.006025748376096596
jame,2,120,0.0060153629267891695
camera,2,120,0.0060153629267891695
carefully,24,22,0.006006830478464509
deliver,24,22,0.006006830478464509
ease,17,9,0.006001464058061012
rather,12,222,0.0059954983898167225
oxford,1,105,0.005993245682617887
exact,22,18,0.0059883125584617725
few,80,193,0.00594742529225728
mark,14,238,0.005937089647077842
test,49,89,0.005912753421371486
move,47,83,0.005904548124743447
human,10,201,0.005813704943247344
scientific,1,102,0.005785923109170532
psychology,1,102,0.005785923109170532
journal,11,209,0.00576259958581693
stock,22,19,0.005754185020207969
promotion,22,19,0.005754185020207969
expensive,21,17,0.005754173445102817
martin,2,116,0.005748735550415884
require,86,218,0.005747043667049756
newsgroup,13,4,0.005741607742364374
bel,13,4,0.005741607742364374
obligation,13,4,0.005741607742364374
thereafter,13,4,0.005741607742364374
postmaster,10,1,0.005718773022522383
adults,10,1,0.005718773022522383
unemployment,10,1,0.005718773022522383
trail,10,1,0.005718773022522383
girlfriend,10,1,0.005718773022522383
proven,10,1,0.005718773022522383
verbal,1,101,0.005716951960288041
september,9,190,0.005708073695910754
hall,3,128,0.005702583294184438
term,17,258,0.005700372629443506
hand,58,120,0.005691084595181917
cgi,12,3,0.005654470100944664
dare,12,3,0.005654470100944664
recieve,12,3,0.005654470100944664
t,94,250,0.005636503700442885
goodness,11,2,0.0056276944476225665
awhile,11,2,0.0056276944476225665
continual,11,2,0.0056276944476225665
criminal,11,2,0.0056276944476225665
promptly,11,2,0.0056276944476225665
upset,11,2,0.0056276944476225665
wealth,15,7,0.00562095760775444
recipient,15,7,0.00562095760775444
job,55,111,0.005618477740280181
extend,4,138,0.005599934453157651
peter,6,159,0.005586035449231697
goal,46,83,0.005583949051200909
publish,32,366,0.005543853997507453
obviously,29,36,0.005537732309760068
average,22,20,0.005530948208227082
grow,42,72,0.005475583209968993
november,4,136,0.005475202871046525
asset,16,9,0.005467529502022783
extremely,30,39,0.005459845430303811
biggest,14,6,0.005446255985724069
philosophy,1,97,0.005441767965230604
school,18,260,0.005403036929384486
everyday,24,25,0.005395502674462205
happy,39,64,0.005388771204103637
promise,29,37,0.005379493228263199
within,105,298,0.005350934555562403
largest,22,21,0.005317812692012369
movement,1,95,0.005304606951470392
announcement,7,164,0.0052995022809606
various,15,234,0.005297466926145633
loan,21,19,0.005293901074484131
dr,12,209,0.005293797329051109
functional,4,133,0.005288960362193562
kid,19,15,0.005288879984319872
flame,13,5,0.005286891413057937
error,38,62,0.005285633370056109
radio,20,17,0.005283103327582861
fl,15,8,0.005266253119703135
address,202,724,0.005265684797184589
successful,43,77,0.005258718619649938
rich,31,43,0.0052503670977856465
email,150,489,0.005221675951317617
using,32,46,0.005201536091690273
prof,3,120,0.00519085290954624
post,37,392,0.005180487074861406
generally,1,93,0.005167741954037908
scope,1,93,0.005167741954037908
susan,1,93,0.005167741954037908
payment,44,81,0.005160744766956049
compuserve,23,24,0.005157038496759692
utility,16,10,0.005155580071625809
encourage,10,189,0.005151331675447679
mouse,12,4,0.005149422710508278
paradise,12,4,0.005149422710508278
sleep,12,4,0.005149422710508278
gay,12,4,0.005149422710508278
competitor,12,4,0.005149422710508278
bargain,12,4,0.005149422710508278
volume,16,239,0.005143578875114463
identify,3,119,0.0051273715627156435
represent,5,141,0.00512313599409181
function,6,151,0.005113164011089466
convince,21,20,0.005080188910922712
install,14,7,0.005072363539225577
banner,9,1,0.005060189017480232
cum,9,1,0.005060189017480232
anon,9,1,0.005060189017480232
exceedingly,9,1,0.005060189017480232
friends,9,1,0.005060189017480232
erotic,9,1,0.005060189017480232
favourite,9,1,0.005060189017480232
delphus,9,1,0.005060189017480232
conservative,18,14,0.0050579041563748595
satisfy,20,18,0.00505746422865655
race,19,16,0.00504872480043278
cheap,11,3,0.005045290784136125
comfort,11,3,0.005045290784136125
manufacturer,11,3,0.005045290784136125
consumer,11,3,0.005045290784136125
driver,11,3,0.005045290784136125
anonymous,4,129,0.005042282924473507
apply,22,283,0.005041027270085874
correctly,24,27,0.0050266307931298715
concern,13,212,0.005010401740954407
kitchen,10,2,0.004997050420707305
wealthy,10,2,0.004997050420707305
fortunately,10,2,0.004997050420707305
album,10,2,0.004997050420707305
permanently,10,2,0.004997050420707305
exp,10,2,0.004997050420707305
muncie,10,2,0.004997050420707305
bull,10,2,0.004997050420707305
excellent,28,37,0.004992799695244854
gain,26,32,0.004991680573552093
up,31,45,0.004973223061932264
suggest,7,158,0.0049551486531057565
effect,7,158,0.0049551486531057565
insurance,15,9,0.004943028412801476
answer,62,143,0.004935849380060531
moment,27,35,0.004911362991061485
social,14,218,0.004896993436511898
dan,1,89,0.004894928762570694
russian,1,89,0.004894928762570694
jan,2,103,0.004892322427636153
husband,13,6,0.004888226530145756
launch,13,6,0.004888226530145756
bad,13,6,0.004888226530145756
highway,13,6,0.004888226530145756
multi,34,54,0.004879810993080047
dave,16,11,0.004867370485361788
star,20,19,0.004843101074999301
md,20,19,0.004843101074999301
record,40,72,0.004832210464876696
patient,17,13,0.004828202332401832
trouble,19,17,0.00482165191073014
prompt,19,17,0.00482165191073014
le,3,114,0.004811668957108328
beautiful,23,26,0.004789630028260938
develop,18,247,0.0047686724910335765
poster,1,87,0.0047589961997642205
maria,1,87,0.0047589961997642205
environment,1,87,0.0047589961997642205
h,17,239,0.004755870680061169
contribute,3,113,0.004748878895443842
clothe,14,8,0.00473528311255228
solid,14,8,0.00473528311255228
thank,116,355,0.004733650540149847
dramatically,12,5,0.004717475154169204
boss,12,5,0.004717475154169204
supplies,12,5,0.004717475154169204
william,6,144,0.00470623374194068
origin,2,100,0.004697065704091952
andrew,1,86,0.004691152117607511
berkeley,1,86,0.004691152117607511
stay,24,29,0.004684711628582139
two,74,611,0.004672323259237998
relate,36,373,0.004667905926841853
pop,15,10,0.004646605009163585
television,15,10,0.004646605009163585
surely,23,27,0.004616595053720529
tv,19,18,0.0046065509293702345
on,49,103,0.004603027701780504
box,73,188,0.004578336930339044
without,73,188,0.004578336930339044
reward,11,4,0.004566032281293264
imagination,11,4,0.004566032281293264
fulfill,11,4,0.004566032281293264
achieve,28,40,0.0045625763123374186
preferably,1,84,0.00455571405270111
pack,13,7,0.004533706931792336
photo,13,7,0.004533706931792336
dori,13,7,0.004533706931792336
mil,13,7,0.004533706931792336
weekend,13,7,0.004533706931792336
password,13,7,0.004533706931792336
manual,26,35,0.004529712414675091
perhap,5,131,0.004529580719616122
discount,24,30,0.004522967120865862
global,24,30,0.004522967120865862
digital,24,30,0.004522967120865862
explore,4,120,0.004494550239994122
three,31,334,0.004458211731217077
north,7,149,0.004447925222391402
portion,20,21,0.0044448385062855755
sum,4,119,0.004434348508590591
phillip,14,9,0.004428922247576517
recognition,1,82,0.0044206175455444585
greek,1,82,0.0044206175455444585
appropriate,5,129,0.004412507700890411
forum,5,129,0.004412507700890411
guide,35,61,0.004409796656707765
rest,37,67,0.004409534153649919
storm,8,1,0.004406659509100963
unbelievable,8,1,0.004406659509100963
collector,8,1,0.004406659509100963
asked,8,1,0.004406659509100963
rental,8,1,0.004406659509100963
lesbian,8,1,0.004406659509100963
accredit,8,1,0.004406659509100963
seen,8,1,0.004406659509100963
referral,8,1,0.004406659509100963
lover,8,1,0.004406659509100963
vga,8,1,0.004406659509100963
explode,8,1,0.004406659509100963
keystroke,8,1,0.004406659509100963
setup,8,1,0.004406659509100963
homosexual,8,1,0.004406659509100963
copyright,19,19,0.004402452511799604
produce,44,89,0.004402230152186715
send,197,725,0.004377176019666751
al,2,95,0.004373804613239163
hurry,9,2,0.0043736011878450776
seconds,9,2,0.0043736011878450776
initially,18,17,0.004370541059599442
holiday,18,17,0.004370541059599442
txt,12,6,0.004340321095918698
required,12,6,0.004340321095918698
abuse,12,6,0.004340321095918698
communication,17,230,0.004326045447901383
